,Link,Name,Description,Actual_price,offer_price
131,/maybelline-new-york-color-sensational-ultimattes-lipstick--more-magenta/p/4931924720_pink,Maybelline New York,Color Sensational Ultimattes Lipstick - More Magenta,₹461,₹362
132,/blue-heaven-hyperstay-matte--mystic-maroon-05/p/4919437760_mysticmaroon,BLUE HEAVEN,Hyperstay Matte - Mystic Maroon-05,₹135,No Offer
133,/blue-heaven-hyperstay-matte--fire-red-04/p/4919437760_firered,BLUE HEAVEN,Hyperstay Matte - Fire Red-04,₹135,No Offer
134,/miss-claire-soft-matte-lip-cream-no-59/p/4924930130_no59,Miss Claire,Soft Matte Lip Cream No 59,₹295,₹251
135,/renee-madness-ph-lipsctick/p/4929277300_pink,Renee,Madness PH Lipsctick,₹499,₹424
136,/revlon-colorstay-satin-ink-liquid-lip-color--your-majesty/p/4931114820_pink,REVLON,Colorstay Satin Ink Liquid Lip Color - Your Majesty,₹799,₹639
137,/miss-claire-soft-matte-lip-cream-no-47/p/4924930130_no47,Miss Claire,Soft Matte Lip Cream No 47,₹225,₹191
138,/swiss-beauty-non-transfer-matte-lip-crayon--fuchsia-pink/p/4936361730_multi,Swiss Beauty,Non-Transfer Matte Lip Crayon - Fuchsia Pink,₹254,₹203
139,/revlon-colorstay-satin-ink-liquid-lip-color--seal-the-deal/p/4931114830_pink,REVLON,Colorstay Satin Ink Liquid Lip Color - Seal The Deal,₹779,₹612
140,/chambor-matte-riot-285--fc-vinoteca/p/4915255520_fcvinoteca,CHAMBOR,Matte Riot 285 - Fc -Vinoteca,₹296,₹237
141,/miss-claire-soft-matte-lip-cream-no-7/p/4924930130_no07,Miss Claire,Soft Matte Lip Cream No 7,₹295,₹251
142,/chambor-matte-riot-256--sunset-rust/p/4915255520_sunsetrust,CHAMBOR,Matte Riot 256 - Sunset Rust,₹296,₹237
143,/insight-cosmetics-non-transfer-matte-lipstick--bare-with-me/p/4924943390_barewithme,Insight Cosmetics,Non Transfer Matte Lipstick - Bare with Me,₹252,₹202
144,/blue-heaven-hyperstay-matte--rockin-red-01/p/4919437760_rockinred,BLUE HEAVEN,Hyperstay Matte - Rockin' Red-01,₹135,No Offer
145,/blue-heaven-powder-matte-fiery-orange-001/p/4919437880_fieryorange,BLUE HEAVEN,Powder Matte -Fiery Orange 001,₹165,No Offer
146,/insight-cosmetics-color-rich-lipstick--maple-map/p/4924943780_maplemap,Insight Cosmetics,Color Rich Lipstick - Maple Map,₹149,₹119
